Timestamp;PannoniaShrimp
Measurement interval=120[sec] (Export-Aggregation disabled);Status
2024-10-01 09:30:38;Ok 0x0002
2024-10-01 09:33:22;Ok 0x0002
2024-10-01 09:36:00;Ok 0x0002
2024-10-01 09:38:00;Ok 0x0002
2024-10-01 09:46:39;Ok 0x0002
2024-10-01 09:50:00;Ok 0x0002
2024-10-01 09:52:00;Ok 0x0002
2024-10-01 09:54:00;Ok 0x0002
2024-10-01 09:56:00;Ok 0x0002
2024-10-01 09:58:00;Ok 0x0002
2024-10-01 10:00:00;Ok 0x0002
2024-10-01 10:02:00;Ok 0x0002
2024-10-01 10:04:00;Ok 0x0002
2024-10-01 10:06:00;Ok 0x0002
2024-10-01 10:08:01;Ok 0x0002
2024-10-01 10:11:59;Ok 0x0002
2024-10-01 10:14:00;Ok 0x0002
2024-10-01 10:16:00;Ok 0x0002
2024-10-01 10:18:00;Ok 0x0002
2024-10-01 10:20:00;Ok 0x0002
2024-10-01 10:20:58;Ok 0x0000
2024-10-01 10:21:56;Ok 0x0002
2024-10-01 10:22:31;Ok 0x0000
