Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;Luftdruck;Luftdruck;cond 22371200;cond 22371200;cond 22371200;cond 22371200;ise 24181400;ise 24181400;ise 24181400;ise 24181400;oxi 11923;oxi 11923;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-1400.00_Coefs:0.00 1.00 0.00 0.00);Status [Trübung - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-210.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-105.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];CODcr - Messwert [mg/l] (Limit:0.00-500.00_Coefs:0.00 1.00 0.00 0.00);Status [CODcr - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-700.00_Coefs:0.00 1.00 0.00 0.00);Status [Chl-A - Messwert];CODmn - Messwert [mg/l] (Limit:0.00-500.00_Coefs:0.00 1.00 0.00 0.00);Status [CODmn - Messwert];HS- - Messwert [mg/l] (Limit:0.00-18.00_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-360.00_Coefs:0.00 1.00 0.00 0.00);Status [BTXest - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-4.56 0.95 0.00 0.00);Status [pH - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert]
2024-09-04 09:50:00;Ok 0x0000;20.33;Ok 0x0000.0000.0000.0000;11.95;Ok 0x0000.0000.0000.0000;-0.49;Ok 0x0000.0000.8001.0000;27.54;Ok 0x0000.0000.0000.0000;51.33;Ok 0x0000.0000.0000.0000;27.54;Ok 0x0000.0000.0000.0000;0.16;Ok 0x0000.0000.0000.0000;-13.53;Ok 0x0000.0000.0000.0000;4.10;Ok 0x0000.0000.0000.0000;26210;Ok 0x0000.0000.0000.0000;19.50;Ok 0x0000.0000.0000.0000;8.35;Ok 0x0000.0000.0000.0000;82.8;Ok 0x0000.0000.0000.0000;7.59;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000
2024-09-04 09:52:00;Ok 0x0000;19.99;Ok 0x0000.0000.0000.0000;12.03;Ok 0x0000.0000.0000.0000;-0.47;Ok 0x0000.0000.8001.0000;27.76;Ok 0x0000.0000.0000.0000;49.53;Ok 0x0000.0000.0000.0000;27.76;Ok 0x0000.0000.0000.0000;0.17;Ok 0x0000.0000.0000.0000;-13.36;Ok 0x0000.0000.0000.0000;4.53;Ok 0x0000.0000.0000.0000;26207;Ok 0x0000.0000.0000.0000;19.49;Ok 0x0000.0000.0000.0000;8.35;Ok 0x0000.0000.0000.0000;82.7;Ok 0x0000.0000.0000.0000;7.59;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000
2024-09-04 09:54:00;Ok 0x0000;20.22;Ok 0x0000.0000.0000.0000;12.07;Ok 0x0000.0000.0000.0000;-0.49;Ok 0x0000.0000.8001.0000;27.89;Ok 0x0000.0000.0000.0000;48.28;Ok 0x0000.0000.0000.0000;27.89;Ok 0x0000.0000.0000.0000;0.17;Ok 0x0000.0000.0000.0000;-13.49;Ok 0x0000.0000.0000.0000;4.54;Ok 0x0000.0000.0000.0000;26205;Ok 0x0000.0000.0000.0000;19.49;Ok 0x0000.0000.0000.0000;8.35;Ok 0x0000.0000.0000.0000;82.6;Ok 0x0000.0000.0000.0000;7.58;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000
2024-09-04 09:56:00;Ok 0x0000;20.36;Ok 0x0000.0000.0000.0000;12.03;Ok 0x0000.0000.0000.0000;-0.44;Ok 0x0000.0000.8001.0000;27.78;Ok 0x0000.0000.0000.0000;46.47;Ok 0x0000.0000.0000.0000;27.78;Ok 0x0000.0000.0000.0000;0.19;Ok 0x0000.0000.0000.0000;-14.25;Ok 0x0000.0000.0000.0000;4.54;Ok 0x0000.0000.0000.0000;26204;Ok 0x0000.0000.0000.0000;19.49;Ok 0x0000.0000.0000.0000;8.35;Ok 0x0000.0000.0000.0000;82.5;Ok 0x0000.0000.0000.0000;7.59;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000
2024-09-04 09:58:00;Ok 0x0000;20.48;Ok 0x0000.0000.0000.0000;12.04;Ok 0x0000.0000.0000.0000;-0.47;Ok 0x0000.0000.8001.0000;27.81;Ok 0x0000.0000.0000.0000;45.02;Ok 0x0000.0000.0000.0000;27.81;Ok 0x0000.0000.0000.0000;0.19;Ok 0x0000.0000.0000.0000;-13.10;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000.0000.0000;26209;Ok 0x0000.0000.0000.0000;19.50;Ok 0x0000.0000.0000.0000;8.35;Ok 0x0000.0000.0000.0000;82.5;Ok 0x0000.0000.0000.0000;7.60;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000
2024-09-04 10:00:00;Ok 0x0000;20.30;Ok 0x0000.0000.0000.0000;12.09;Ok 0x0000.0000.0000.0000;-0.43;Ok 0x0000.0000.8001.0000;27.93;Ok 0x0000.0000.0000.0000;42.36;Ok 0x0000.0000.0000.0000;27.93;Ok 0x0000.0000.0000.0000;0.19;Ok 0x0000.0000.0000.0000;-12.55;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000.0000.0000;26200;Ok 0x0000.0000.0000.0000;19.49;Ok 0x0000.0000.0000.0000;8.35;Ok 0x0000.0000.0000.0000;82.4;Ok 0x0000.0000.0000.0000;7.60;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.1;Ok 0x0000.0000.0000.0000
2024-09-04 10:02:00;Ok 0x0000;19.42;Ok 0x0000.0000.0000.0000;12.06;Ok 0x0000.0000.0000.0000;-0.43;Ok 0x0000.0000.8001.0000;27.88;Ok 0x0000.0000.0000.0000;37.38;Ok 0x0000.0000.0000.0000;27.88;Ok 0x0000.0000.0000.0000;0.20;Ok 0x0000.0000.0000.0000;-12.76;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000.0000.0000;26212;Ok 0x0000.0000.0000.0000;19.50;Ok 0x0000.0000.0000.0000;8.34;Ok 0x0000.0000.0000.0000;82.3;Ok 0x0000.0000.0000.0000;7.58;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.1;Ok 0x0000.0000.0000.0000
2024-09-04 10:04:00;Ok 0x0000;21.19;Ok 0x0000.0000.0000.0000;12.09;Ok 0x0000.0000.0000.0000;-0.45;Ok 0x0000.0000.8001.0000;27.92;Ok 0x0000.0000.0000.0000;42.46;Ok 0x0000.0000.0000.0000;27.92;Ok 0x0000.0000.0000.0000;0.18;Ok 0x0000.0000.0000.0000;-12.35;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000.0000.0000;26200;Ok 0x0000.0000.0000.0000;19.49;Ok 0x0000.0000.0000.0000;8.34;Ok 0x0000.0000.0000.0000;82.3;Ok 0x0000.0000.0000.0000;7.58;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;26.1;Ok 0x0000.0000.0000.0000
2024-09-04 10:06:00;Ok 0x0000;20.31;Ok 0x0000.0000.0000.0000;12.11;Ok 0x0000.0000.0000.0000;-0.42;Ok 0x0000.0000.8001.0000;27.99;Ok 0x0000.0000.0000.0000;35.13;Ok 0x0000.0000.0000.0000;27.99;Ok 0x0000.0000.0000.0000;0.20;Ok 0x0000.0000.0000.0000;-12.85;Ok 0x0000.0000.0000.0000;4.56;Ok 0x0000.0000.0000.0000;26205;Ok 0x0000.0000.0000.0000;19.49;Ok 0x0000.0000.0000.0000;8.34;Ok 0x0000.0000.0000.0000;82.2;Ok 0x0000.0000.0000.0000;7.60;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000;26.1;Ok 0x0000.0000.0000.0000
