Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 24400210;spec 24400210;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;spec 24400210;spec 24400210
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.50 1.00 0.00 0.00);Status [Trübung - Messwert];TURBest - Messwert [FTU] (Limit:0.00-200.00_Coefs:-10.30 3.42 0.00 0.00);Status [TURBest - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:2.40 1.00 0.00 0.00);Status [NO3-Neq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-14.00_Coefs:-0.70 1.00 0.00 0.00);Status [NO3-Neq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-25.00_Coefs:-2.50 1.60 0.00 0.00);Status [TOCeq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:2.00 0.16 0.00 0.00);Status [Chl-A - Messwert];Chl-A - Korrigiert [µg/l] (Limit:0.00-100.00);Status [Chl-A - Korrigiert];NO2-Neq - Messwert [mg/l] (Limit:0.00-5.70_Coefs:0.91 1.00 0.00 0.00);Status [NO2-Neq - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];UV254t - Messwert [Abs/m] (Limit:0.00-71.00_Coefs:0.00 1.00 0.00 0.00);Status [UV254t - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.30 1.00 0.00 0.00);Status [HS- - Messwert];HS- - Messwert [mg/l] (Limit:0.00-5.10_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Ozone - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [Ozone - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperature - °C (26) - Messwert [°C] (Limit:0.00-45.00_Coefs:0.00 1.00 0.00 0.00);Status [Temperature - °C (26) - Messwert]
2024-11-26 11:00:00;Ok 0x0000;14.86;Ok 0x0000.0000.0000.0000;15.81;Ok 0x0000.0000.0000.0000;2.69;Ok 0x0000.0000.0000.0000;2.63;Ok 0x0000.0000.0000.0000;12.40;Ok 0x0000.0000.0000.0000;12.41;Ok 0x0000.0000.0000.0000;3.30;Ok 0x0000.0000.0000.0000;3.30;Ok 0x0000.0000;0.376;Ok 0x0000.0000.0000.0000;23836;Ok 0x0000.0000.0000.0000;8.92;Ok 0x0000.0000.0000.0000;10.65;Ok 0x0000.0000.0000.0000;353.5;Ok 0x0000.0000.0000.0000;18.62;Ok 0x0000.0000.0000.0000;29.17;Ok 0x0000.0000.0000.0000;0.27;Ok 0x0000.0000.0000.0000;0.12;Ok 0x0000.0000.0000.0000;14.77;Ok 0x0000.0000.0000.0000;0.79;Ok 0x0000.0000.0000.0000;4.05;Ok 0x0000.0000.0000.0000;107.4;Ok 0x0000.0000.0000.0000;353.5;Ok 0x0000.0000.0000.0000;9.4;Ok 0x0000.0000.0000.0000;9.5;Ok 0x0000.0000.0000.0000;9.8;Ok 0x0000.0000.0000.0000;9.8;Ok 0x0000.0000.0000.0000;9.6;Ok 0x0000.0000.0000.0000
2024-11-26 11:02:00;Ok 0x0000;14.85;Ok 0x0000.0000.0000.0000;15.58;Ok 0x0000.0000.0000.0000;2.68;Ok 0x0000.0000.0000.0000;2.77;Ok 0x0000.0000.0000.0000;12.37;Ok 0x0000.0000.0000.0000;12.40;Ok 0x0000.0000.0000.0000;3.77;Ok 0x0000.0000.0000.0000;3.42;Ok 0x0000.0000;0.571;Ok 0x0000.0000.0000.0000;23840;Ok 0x0000.0000.0000.0000;8.92;Ok 0x0000.0000.0000.0000;10.66;Ok 0x0000.0000.0000.0000;353.5;Ok 0x0000.0000.0000.0000;18.63;Ok 0x0000.0000.0000.0000;29.21;Ok 0x0000.0000.0000.0000;0.26;Ok 0x0000.0000.0000.0000;0.11;Ok 0x0000.0000.0000.0000;14.98;Ok 0x0000.0000.0000.0000;0.78;Ok 0x0000.0000.0000.0000;4.18;Ok 0x0000.0000.0000.0000;107.4;Ok 0x0000.0000.0000.0000;353.5;Ok 0x0000.0000.0000.0000;9.4;Ok 0x0000.0000.0000.0000;9.5;Ok 0x0000.0000.0000.0000;9.8;Ok 0x0000.0000.0000.0000;9.8;Ok 0x0000.0000.0000.0000;9.6;Ok 0x0000.0000.0000.0000
2024-11-26 11:03:24;Ok 0x0002
2024-11-26 11:04:00;Ok 0x0002
2024-11-26 11:04:38;Ok 0x0000
