Timestamp;PannoniaShrimp
Measurement interval=120[sec] (Export-Aggregation disabled);Status
2024-11-08 14:13:13;Ok 0x0002
2024-11-08 14:14:00;Ok 0x0002
2024-11-08 14:16:00;Ok 0x0002
