Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;spec 24400210;spec 24400210
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.50 1.00 0.00 0.00);Status [Trübung - Messwert];TURBest - FTU (39) - Messwert [FTU] (Limit:0.00-200.00_Coefs:0.00 1.00 0.00 0.00);Status [TURBest - FTU (39) - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:1.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-14.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:30.00 1.00 0.00 0.00);Status [Chl-A - Messwert];NO2-Neq - Messwert [mg/l] (Limit:0.00-5.70_Coefs:0.00 1.00 0.00 0.00);Status [NO2-Neq - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];UV254t - Messwert [Abs/m] (Limit:0.00-71.00_Coefs:0.00 1.00 0.00 0.00);Status [UV254t - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];HS- - Messwert [mg/l] (Limit:0.00-5.10_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Ozone - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [Ozone - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperature - °C (26) - Messwert [°C] (Limit:0.00-45.00_Coefs:0.00 1.00 0.00 0.00);Status [Temperature - °C (26) - Messwert]
2024-10-18 10:22:00;Ok 0x0000;2.13;Ok 0x0000.0000.0000.0000;3.6;Ok 0x0000.0000.0000.0000;1.09;Ok 0x0000.0000.0000.0000;3.48;Ok 0x0000.0000.0000.0000;8.81;Ok 0x0000.0000.0000.0000;7.6;Ok 0x0000.0000.0000.0000;31.59;Ok 0x0000.0000.0000.0000;-0.88;Ok 0x0000.0000.8000.0000;26415;Ok 0x0000.0000.0000.0000;8.97;Ok 0x0000.0000.0000.0000;9.99;Ok 0x0000.0000.0000.0000;289;Ok 0x0000.0000.0000.0000;20.21;Ok 0x0000.0000.0000.0000;24.7;Ok 0x0000.0000.0000.0000;0.05;Ok 0x0000.0000.0000.0000;0.28;Ok 0x0000.0000.0000.0000;15.10;Ok 0x0000.0000.0000.0000;0.83;Ok 0x0000.0000.0000.0000;4.08;Ok 0x0000.0000.0000.0000;113.5;Ok 0x0000.0000.0000.0000;288.5;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.2;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;18.2;Ok 0x0000.0000.0000.0000;17.3;Ok 0x0000.0000.0000.0000
2024-10-18 10:24:00;Ok 0x0000;0.34;Ok 0x0000.0000.0000.0000;3.3;Ok 0x0000.0000.0000.0000;1.08;Ok 0x0000.0000.0000.0000;3.29;Ok 0x0000.0000.0000.0000;8.61;Ok 0x0000.0000.0000.0000;7.6;Ok 0x0000.0000.0000.0000;34.89;Ok 0x0000.0000.0000.0000;-0.81;Ok 0x0000.0000.8000.0000;26407;Ok 0x0000.0000.0000.0000;8.97;Ok 0x0000.0000.0000.0000;9.97;Ok 0x0000.0000.0000.0000;289;Ok 0x0000.0000.0000.0000;20.20;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000;0.04;Ok 0x0000.0000.0000.0000;0.26;Ok 0x0000.0000.0000.0000;15.27;Ok 0x0000.0000.0000.0000;0.84;Ok 0x0000.0000.0000.0000;4.67;Ok 0x0000.0000.0000.0000;113.5;Ok 0x0000.0000.0000.0000;289.1;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;17.3;Ok 0x0000.0000.0000.0000
2024-10-18 10:25:46;Ok 0x0002
2024-10-18 10:26:00;Ok 0x0002
2024-10-18 10:28:00;Ok 0x0002
2024-10-18 10:29:49;Ok 0x0000
2024-10-18 10:32:00;Ok 0x0000;0.84;Ok 0x0000.0000.0000.0000;3.3;Ok 0x0000.0000.0000.0000;1.08;Ok 0x0000.0000.0000.0000;3.57;Ok 0x0000.0000.0000.0000;8.70;Ok 0x0000.0000.0000.0000;7.6;Ok 0x0000.0000.0000.0000;31.52;Ok 0x0000.0000.0000.0000;-0.93;Ok 0x0000.0000.8000.0000;26392;Ok 0x0000.0000.0000.0000;8.96;Ok 0x0000.0000.0000.0000;10.03;Ok 0x0000.0000.0000.0000;290;Ok 0x0000.0000.0000.0000;20.19;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;0.04;Ok 0x0000.0000.0000.0000;0.33;Ok 0x0000.0000.0000.0000;14.97;Ok 0x0000.0000.0000.0000;0.83;Ok 0x0000.0000.0000.0000;4.25;Ok 0x0000.0000.0000.0000;113.0;Ok 0x0000.0000.0000.0000;289.7;Ok 0x0000.0000.0000.0000;18.4;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;17.6;Ok 0x0000.0000.0000.0000
2024-10-18 10:34:00;Ok 0x0000;0.89;Ok 0x0000.0000.0000.0000;3.2;Ok 0x0000.0000.0000.0000;1.09;Ok 0x0000.0000.0000.0000;3.47;Ok 0x0000.0000.0000.0000;8.68;Ok 0x0000.0000.0000.0000;7.5;Ok 0x0000.0000.0000.0000;32.92;Ok 0x0000.0000.0000.0000;-0.85;Ok 0x0000.0000.8000.0000;26376;Ok 0x0000.0000.0000.0000;8.96;Ok 0x0000.0000.0000.0000;10.05;Ok 0x0000.0000.0000.0000;290;Ok 0x0000.0000.0000.0000;20.17;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;0.04;Ok 0x0000.0000.0000.0000;0.31;Ok 0x0000.0000.0000.0000;15.05;Ok 0x0000.0000.0000.0000;0.84;Ok 0x0000.0000.0000.0000;4.69;Ok 0x0000.0000.0000.0000;112.9;Ok 0x0000.0000.0000.0000;290.0;Ok 0x0000.0000.0000.0000;18.4;Ok 0x0000.0000.0000.0000;18.4;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;17.6;Ok 0x0000.0000.0000.0000
2024-10-18 10:36:00;Ok 0x0000;0.59;Ok 0x0000.0000.0000.0000;3.2;Ok 0x0000.0000.0000.0000;1.08;Ok 0x0000.0000.0000.0000;3.64;Ok 0x0000.0000.0000.0000;8.66;Ok 0x0000.0000.0000.0000;7.5;Ok 0x0000.0000.0000.0000;30.33;Ok 0x0000.0000.0000.0000;-0.97;Ok 0x0000.0000.8000.0000;26367;Ok 0x0000.0000.0000.0000;8.96;Ok 0x0000.0000.0000.0000;10.10;Ok 0x0000.0000.0000.0000;290;Ok 0x0000.0000.0000.0000;20.16;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;0.04;Ok 0x0000.0000.0000.0000;0.33;Ok 0x0000.0000.0000.0000;15.42;Ok 0x0000.0000.0000.0000;0.83;Ok 0x0000.0000.0000.0000;4.69;Ok 0x0000.0000.0000.0000;112.9;Ok 0x0000.0000.0000.0000;290.3;Ok 0x0000.0000.0000.0000;18.4;Ok 0x0000.0000.0000.0000;18.4;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.4;Ok 0x0000.0000.0000.0000;17.6;Ok 0x0000.0000.0000.0000
