24400209_350.00_0x3.0_spectro::lyser V3.0_GEN_UV_FINGERPRINT-60_ABS-M_SCAN_001;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 24400210
Measurement interval=120[sec] (Export-Aggregation disabled);Status (Source:0);200 nm;201 nm;202 nm;203 nm;204 nm;205 nm;206 nm;207 nm;208 nm;209 nm;210 nm;211 nm;212 nm;213 nm;214 nm;215 nm;216 nm;217 nm;218 nm;219 nm;220 nm;221 nm;222 nm;223 nm;224 nm;225 nm;226 nm;227 nm;228 nm;229 nm;230 nm;231 nm;232 nm;233 nm;234 nm;235 nm;236 nm;237 nm;238 nm;239 nm;240 nm;241 nm;242 nm;243 nm;244 nm;245 nm;246 nm;247 nm;248 nm;249 nm;250 nm;251 nm;252 nm;253 nm;254 nm;255 nm;256 nm;257 nm;258 nm;259 nm;260 nm;261 nm;262 nm;263 nm;264 nm;265 nm;266 nm;267 nm;268 nm;269 nm;270 nm;271 nm;272 nm;273 nm;274 nm;275 nm;276 nm;277 nm;278 nm;279 nm;280 nm;281 nm;282 nm;283 nm;284 nm;285 nm;286 nm;287 nm;288 nm;289 nm;290 nm;291 nm;292 nm;293 nm;294 nm;295 nm;296 nm;297 nm;298 nm;299 nm;300 nm;301 nm;302 nm;303 nm;304 nm;305 nm;306 nm;307 nm;308 nm;309 nm;310 nm;311 nm;312 nm;313 nm;314 nm;315 nm;316 nm;317 nm;318 nm;319 nm;320 nm;321 nm;322 nm;323 nm;324 nm;325 nm;326 nm;327 nm;328 nm;329 nm;330 nm;331 nm;332 nm;333 nm;334 nm;335 nm;336 nm;337 nm;338 nm;339 nm;340 nm;341 nm;342 nm;343 nm;344 nm;345 nm;346 nm;347 nm;348 nm;349 nm;350 nm;351 nm;352 nm;353 nm;354 nm;355 nm;356 nm;357 nm;358 nm;359 nm;360 nm;361 nm;362 nm;363 nm;364 nm;365 nm;366 nm;367 nm;368 nm;369 nm;370 nm;371 nm;372 nm;373 nm;374 nm;375 nm;376 nm;377 nm;378 nm;379 nm;380 nm;381 nm;382 nm;383 nm;384 nm;385 nm;386 nm;387 nm;388 nm;389 nm;390 nm;391 nm;392 nm;393 nm;394 nm;395 nm;396 nm;397 nm;398 nm;399 nm;400 nm;401 nm;402 nm;403 nm;404 nm;405 nm;406 nm;407 nm;408 nm;409 nm;410 nm;411 nm;412 nm;413 nm;414 nm;415 nm;416 nm;417 nm;418 nm;419 nm;420 nm
2024-11-08 14:06:00;Ok 0x0000.0000;78.8883;80.2565;82.5616;82.4437;80.5216;78.8424;77.9403;75.3696;74.4156;73.2578;70.7184;70.3575;68.6786;66.9768;64.6777;62.5392;61.4041;59.4686;57.5167;56.1634;54.2780;52.6542;51.6140;50.3234;49.0842;47.8392;46.7503;45.8781;44.9706;44.3544;43.7804;42.9279;41.8763;40.8173;39.8645;39.0349;38.2240;37.3883;36.5135;35.6766;34.8532;34.0706;33.4363;32.9082;32.2585;31.3466;30.4962;29.9709;29.5970;29.1361;28.5504;27.9345;27.4278;27.0586;26.6930;26.2721;25.8748;25.5460;25.2730;25.0329;24.8668;24.7330;24.4905;24.2447;24.0359;23.8089;23.6322;23.4752;23.3216;23.1535;22.9795;22.8211;22.6974;22.5528;22.3750;22.1758;22.0000;21.8382;21.6199;21.3871;21.1504;20.8962;20.6539;20.3964;20.0736;19.7332;19.4274;19.1212;18.7519;18.3277;17.9425;17.5907;17.2120;16.8488;16.5031;16.1760;15.8794;15.6205;15.3866;15.1518;14.9064;14.6666;14.4532;14.2452;14.0474;13.8772;13.6960;13.5117;13.3372;13.1907;13.0557;12.9145;12.7706;12.6110;12.4575;12.3332;12.1991;12.0338;11.8814;11.7461;11.6158;11.4725;11.3170;11.1849;11.0630;10.9489;10.8247;10.6918;10.5369;10.3950;10.2637;10.1395;10.0290;9.9132;9.8069;9.6847;9.5646;9.4669;9.3698;9.2568;9.1525;9.0652;8.9660;8.8752;8.7971;8.7200;8.6462;8.5505;8.4591;8.3770;8.2981;8.2274;8.1506;8.0600;8.0073;7.9504;7.8837;7.8111;7.7461;7.6829;7.6042;7.5531;7.5143;7.4424;7.3647;7.2986;7.2375;7.1763;7.1037;7.0446;7.0069;6.9577;6.9009;6.8258;6.7557;6.7429;6.7298;6.7020;6.6803;6.6595;6.6373;6.5770;6.5375;6.5339;6.5390;6.5079;6.4459;6.4044;6.3644;6.3264;6.2776;6.2283;6.1941;6.1749;6.1695;6.1916;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2024-11-08 14:12:00;Ok 0x0000.0000;85.0499;81.6953;79.7896;80.9238;82.0203;79.7528;78.0062;78.4009;73.3606;70.9729;70.8475;68.0790;65.8674;64.9580;64.1356;62.0440;60.6083;59.5155;57.6667;55.7180;54.3667;53.3546;51.8615;50.4209;49.0972;47.9713;46.7470;45.6349;44.8864;44.2562;43.6346;42.7645;41.7175;40.6601;39.6865;38.8989;38.0916;37.2532;36.4130;35.5803;34.7282;33.9479;33.3297;32.7937;32.1349;31.2537;30.4123;29.8615;29.4818;29.0278;28.4388;27.8235;27.3272;26.9705;26.5666;26.1211;25.7621;25.4366;25.1334;24.9174;24.7818;24.6364;24.3934;24.1445;23.9318;23.6932;23.5053;23.3626;23.2088;23.0367;22.8734;22.7273;22.5943;22.4427;22.2596;22.0479;21.8645;21.7117;21.5011;21.2488;21.0171;20.7803;20.5348;20.2733;19.9576;19.6304;19.3119;18.9937;18.6265;18.1998;17.8164;17.4655;17.0997;16.7108;16.3614;16.0565;15.7625;15.5004;15.2716;15.0372;14.7855;14.5408;14.3396;14.1354;13.9209;13.7529;13.5817;13.3886;13.2197;13.0881;12.9533;12.7992;12.6492;12.5058;12.3481;12.2075;12.0851;11.9374;11.7705;11.6293;11.5147;11.3705;11.1978;11.0728;10.9692;10.8449;10.7061;10.5742;10.4357;10.2881;10.1462;10.0324;9.9159;9.7901;9.6982;9.5852;9.4553;9.3635;9.2672;9.1438;9.0415;8.9558;8.8599;8.7637;8.6800;8.6170;8.5389;8.4300;8.3419;8.2701;8.1960;8.1242;8.0389;7.9450;7.8842;7.8326;7.7663;7.6890;7.6272;7.5720;7.4899;7.4380;7.4088;7.3439;7.2542;7.1770;7.1245;7.0722;6.9927;6.9230;6.8877;6.8393;6.7719;6.7144;6.6801;6.6425;6.6169;6.5998;6.5675;6.5462;6.5367;6.4809;6.4285;6.4155;6.4197;6.3886;6.3338;6.2964;6.2693;6.2132;6.1600;6.1381;6.0983;6.0604;6.0699;6.0914;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
