[filetype:logbook]
Timestamp;Log level;Log message
2024-09-04 09:41:17;SYSTEM;Measurement suspended.
2024-09-04 09:43:31;SYSTEM;stopping watchdog service
2024-09-04 09:47:32;SYSTEM;Writing initial configuration
2024-09-04 09:47:32;SYSTEM;NetworkHandler initialized
2024-09-04 09:47:32;SYSTEM;[Init] Network Handler
2024-09-04 09:47:46;SYSTEM;[Init] Modem Handler
2024-09-04 09:47:46;SYSTEM;[Init] SMS Handler
2024-09-04 09:47:46;SYSTEM;[Init] Wifi Handler
2024-09-04 09:47:46;SYSTEM;[Init] Display Handler
2024-09-04 09:47:54;SYSTEM;starting watchdog service
2024-09-04 09:47:54;SYSTEM;starting watchdog service
2024-09-04 09:47:54;SYSTEM;s::can watchdog service started.
2024-09-04 09:47:55;SYSTEM;s::can training service started.
2024-09-04 09:47:55;SYSTEM;starting training service
2024-09-04 09:47:55;SYSTEM;estimated disk life time of storage disk: eMMC Firmware Version: 73103517%P
eMMC Life Time Estimation A [EXT_CSD_DEVICE_LIFE_TIME_EST_TYP_A]: 0x01
eMMC Life Time Estimation B [EXT_CSD_DEVICE_LIFE_TIME_EST_TYP_B]: 0x01
eMMC Pre EOL information [EXT_CSD_PRE_EOL_INFO]: 0x01
2024-09-04 09:47:56;SYSTEM;Measurement resumed.
2024-09-04 09:47:56;SYSTEM;s::can soap service started.
2024-09-04 09:48:07;SYSTEM;s::can scada service started with Version 4.7.4-131-g98c0ccdd.
2024-09-04 09:48:09;SYSTEM;serialNo= 3231313533363230 (21153620).
2024-09-04 09:48:09;SYSTEM;Model= D-330.
2024-09-04 09:48:46;SYSTEM;UpdateStationThread(): Thread stopped.
2024-09-04 09:48:46;SYSTEM;UpdateStationThread(): Thread started.
2024-09-04 09:48:46;SYSTEM;Installed sensors:
{"display_name":"cond 22371200","internal_name":"cond 22371200","url":"modbus_rtu://4/5","sn":"22371200","version":"243590-1111 CONUM034","model":"condu::lyser"}
{"display_name":"ise 24181400","internal_name":"ise 14360002","url":"modbus_rtu://4/3","sn":"24181400","version":"0102 010M","model":"ise::lyser"}
{"display_name":"oxi 11923","internal_name":"oxi 11923","url":"modbus_rtu://4/6","sn":"11923","version":"31 2","model":"oxi::lyser"}
{"display_name":"Luftdruck","internal_name":"Sensor_1","url":"constat_ai://3/17","sn":"","version":" ","model":"intern-mA-IN"}
{"display_name":"spec 23510000","internal_name":"spec 23510000","url":"modbus_rtu://1/4","sn":"23510000","version":"0100 0134","model":"spectro::lyser","detector":"uv/vis","pathlength":5.0,"pathlength_unit":"mm","global_calib":"RIV615NNV200","reference":"DIST_H2O","reference_index":"2","reference_date":"2024-06-04 10:49:00"}
2024-09-04 09:48:49;SYSTEM;MeasurementLoop: measure is already overdue, start cleaning after 55 seconds.
2024-09-04 09:49:15;SYSTEM;starting OpenVPN instance for profile OpenVPN_30000
2024-09-04 09:49:15;SYSTEM;[Init] VPN Handler
2024-09-04 09:49:15;SYSTEM;[Init] Firewall Handler
2024-09-04 09:49:18;SYSTEM;VNC Service is now Disabled
2024-09-04 09:49:18;SYSTEM;Entering SOAP Listener loop
2024-09-04 09:51:24;USER;CSecurity::GetLock(): User "Administrator" logged in (read-write access).
2024-09-04 10:36:10;USER;User "Administrator" from 127.0.0.1 logged out.
2024-09-04 11:16:48;USER;CSecurity::GetLock(): User "Administrator" logged in (read-write access).
2024-09-04 11:17:25;SYSTEM;Measurement suspended.
