Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;spec 24400210;spec 24400210
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.50 1.00 0.00 0.00);Status [Trübung - Messwert];TURBest - FTU (39) - Messwert [FTU] (Limit:0.00-200.00_Coefs:0.00 1.00 0.00 0.00);Status [TURBest - FTU (39) - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:1.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-14.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:30.00 1.00 0.00 0.00);Status [Chl-A - Messwert];NO2-Neq - Messwert [mg/l] (Limit:0.00-5.70_Coefs:0.00 1.00 0.00 0.00);Status [NO2-Neq - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];UV254t - Messwert [Abs/m] (Limit:0.00-71.00_Coefs:0.00 1.00 0.00 0.00);Status [UV254t - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];HS- - Messwert [mg/l] (Limit:0.00-5.10_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Ozon - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [Ozon - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperature - °C (26) - Messwert [°C] (Limit:0.00-45.00_Coefs:0.00 1.00 0.00 0.00);Status [Temperature - °C (26) - Messwert]
2024-10-18 10:12:00;Ok 0x0000;1.33;Ok 0x0000.0000.0000.0000;5.7;Ok 0x0000.0000.0000.0000;1.06;Ok 0x0000.0000.0000.0000;3.36;Ok 0x0000.0000.0000.0000;8.85;Ok 0x0000.0000.0000.0000;8.4;Ok 0x0000.0000.0000.0000;33.72;Ok 0x0000.0000.0000.0000;-0.80;Ok 0x0000.0000.8000.0000;26442;Ok 0x0000.0000.0000.0000;8.98;Ok 0x0000.0000.0000.0000;9.98;Ok 0x0000.0000.0000.0000;287;Ok 0x0000.0000.0000.0000;20.24;Ok 0x0000.0000.0000.0000;26.6;Ok 0x0000.0000.0000.0000;0.03;Ok 0x0000.0000.0000.0000;0.30;Ok 0x0000.0000.0000.0000;15.40;Ok 0x0000.0000.0000.0000;0.8;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;114.1;Ok 0x0000.0000.0000.0000;287.3;Ok 0x0000.0000.0000.0000;18.2;Ok 0x0000.0000.0000.0000;18.2;Ok 0x0000.0000.0000.0000;18.4;Ok 0x0000.0000.0000.0000;18.2;Ok 0x0000.0000.0000.0000;17.1;Ok 0x0000.0000.0000.0000
2024-10-18 10:14:00;Ok 0x0000;1.35;Ok 0x0000.0000.0000.0000;5.7;Ok 0x0000.0000.0000.0000;1.08;Ok 0x0000.0000.0000.0000;3.54;Ok 0x0000.0000.0000.0000;8.85;Ok 0x0000.0000.0000.0000;8.4;Ok 0x0000.0000.0000.0000;33.17;Ok 0x0000.0000.0000.0000;-0.81;Ok 0x0000.0000.8000.0000;26433;Ok 0x0000.0000.0000.0000;8.98;Ok 0x0000.0000.0000.0000;9.91;Ok 0x0000.0000.0000.0000;288;Ok 0x0000.0000.0000.0000;20.23;Ok 0x0000.0000.0000.0000;26.6;Ok 0x0000.0000.0000.0000;0.04;Ok 0x0000.0000.0000.0000;0.33;Ok 0x0000.0000.0000.0000;15.08;Ok 0x0000.0000.0000.0000;0.8;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;114.0;Ok 0x0000.0000.0000.0000;287.7;Ok 0x0000.0000.0000.0000;18.2;Ok 0x0000.0000.0000.0000;18.2;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;18.2;Ok 0x0000.0000.0000.0000;17.1;Ok 0x0000.0000.0000.0000
2024-10-18 10:16:00;Ok 0x0000;1.33;Ok 0x0000.0000.0000.0000;5.7;Ok 0x0000.0000.0000.0000;1.08;Ok 0x0000.0000.0000.0000;3.42;Ok 0x0000.0000.0000.0000;8.83;Ok 0x0000.0000.0000.0000;8.4;Ok 0x0000.0000.0000.0000;35.62;Ok 0x0000.0000.0000.0000;-0.85;Ok 0x0000.0000.8000.0000;26439;Ok 0x0000.0000.0000.0000;8.98;Ok 0x0000.0000.0000.0000;9.91;Ok 0x0000.0000.0000.0000;288;Ok 0x0000.0000.0000.0000;20.24;Ok 0x0000.0000.0000.0000;26.5;Ok 0x0000.0000.0000.0000;0.04;Ok 0x0000.0000.0000.0000;0.33;Ok 0x0000.0000.0000.0000;14.90;Ok 0x0000.0000.0000.0000;0.8;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;113.9;Ok 0x0000.0000.0000.0000;288.0;Ok 0x0000.0000.0000.0000;18.2;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;18.2;Ok 0x0000.0000.0000.0000;17.2;Ok 0x0000.0000.0000.0000
2024-10-18 10:17:09;Ok 0x0002
2024-10-18 10:18:00;Ok 0x0002
2024-10-18 10:20:00;Ok 0x0002
2024-10-18 10:21:05;Ok 0x0000
