Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 23510000;spec 23510000;spec 23510000;spec 23510000;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-1400.00_Coefs:0.00 1.00 0.00 0.00);Status [Trübung - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-210.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-105.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-700.00_Coefs:0.00 1.00 0.00 0.00);Status [Chl-A - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];HS- - Messwert [mg/l] (Limit:0.00-18.00_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-360.00_Coefs:0.00 1.00 0.00 0.00);Status [BTXest - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.00 1.00 0.00 0.00);Status [Temperatur - Messwert]
2024-10-09 11:32:00;Ok 0x0000;1.04;Ok 0x0000.0000.0000.0000;8.84;Ok 0x0000.0000.0000.0000;1.06;Ok 0x0000.0000.0000.0000;30.12;Ok 0x0000.0000.0000.0000;26052;Ok 0x0000.0000.0000.0000;8.82;Ok 0x0000.0000.0000.0000;9.66;Ok 0x0000.0000.0000.0000;184;Ok 0x0000.0000.0000.0000;19.74;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.41;Ok 0x0000.0000.0000.0000;3.63;Ok 0x0000.0000.0000.0000;105.9;Ok 0x0000.0000.0000.0000;184.1;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;21.0;Ok 0x0000.0000.0000.0000;19.8;Ok 0x0000.0000.0000.0000
