Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;spec 24400210;spec 24400210
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.50 1.00 0.00 0.00);Status [Trübung - Messwert];TURBest - FTU (39) - Messwert [FTU] (Limit:0.00-200.00_Coefs:0.00 1.00 0.00 0.00);Status [TURBest - FTU (39) - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:1.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-14.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:30.00 1.00 0.00 0.00);Status [Chl-A - Messwert];NO2-Neq - Messwert [mg/l] (Limit:0.00-5.70_Coefs:0.00 1.00 0.00 0.00);Status [NO2-Neq - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];UV254t - Messwert [Abs/m] (Limit:0.00-71.00_Coefs:0.00 1.00 0.00 0.00);Status [UV254t - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];HS- - Messwert [mg/l] (Limit:0.00-5.10_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Ozone - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [Ozone - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperature - °C (26) - Messwert [°C] (Limit:0.00-45.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperature - °C (26) - Messwert]
2024-11-02 16:42:00;Ok 0x0000;11.53;Ok 0x0000.0000.0000.0000;6.3;Ok 0x0000.0000.0000.0000;1.23;Ok 0x0000.0000.0000.0000;3.21;Ok 0x0000.0000.0000.0000;10.97;Ok 0x0000.0000.0000.0000;8.61;Ok 0x0000.0000.0000.0000;38.04;Ok 0x0000.0000.0000.0000;-0.52;Ok 0x0000.0000.8000.0000;23265;Ok 0x0000.0000.0000.0000;8.68;Ok 0x0000.0000.0000.0000;12.88;Ok 0x0000.0000.0000.0000;355;Ok 0x0000.0000.0000.0000;17.61;Ok 0x0000.0000.0000.0000;27.04;Ok 0x0000.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;0.20;Ok 0x0000.0000.0000.0000;16.45;Ok 0x0000.0000.0000.0000;0.82;Ok 0x0000.0000.0000.0000;4.70;Ok 0x0000.0000.0000.0000;97.7;Ok 0x0000.0000.0000.0000;355.0;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.1;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-11-02 16:44:00;Ok 0x0000;11.50;Ok 0x0000.0000.0000.0000;6.3;Ok 0x0000.0000.0000.0000;1.24;Ok 0x0000.0000.0000.0000;3.21;Ok 0x0000.0000.0000.0000;10.97;Ok 0x0000.0000.0000.0000;8.60;Ok 0x0000.0000.0000.0000;36.73;Ok 0x0000.0000.0000.0000;-0.59;Ok 0x0000.0000.8000.0000;23277;Ok 0x0000.0000.0000.0000;8.68;Ok 0x0000.0000.0000.0000;12.88;Ok 0x0000.0000.0000.0000;355;Ok 0x0000.0000.0000.0000;17.62;Ok 0x0000.0000.0000.0000;27.03;Ok 0x0000.0000.0000.0000;-0.00;Ok 0x0000.0000.8001.0000;0.22;Ok 0x0000.0000.0000.0000;16.62;Ok 0x0000.0000.0000.0000;0.81;Ok 0x0000.0000.0000.0000;4.69;Ok 0x0000.0000.0000.0000;97.7;Ok 0x0000.0000.0000.0000;355.0;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.1;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-11-02 16:46:00;Ok 0x0000;11.72;Ok 0x0000.0000.0000.0000;6.3;Ok 0x0000.0000.0000.0000;1.24;Ok 0x0000.0000.0000.0000;3.12;Ok 0x0000.0000.0000.0000;10.95;Ok 0x0000.0000.0000.0000;8.61;Ok 0x0000.0000.0000.0000;43.08;Ok 0x0000.0000.0000.0000;-0.59;Ok 0x0000.0000.8000.0000;23270;Ok 0x0000.0000.0000.0000;8.68;Ok 0x0000.0000.0000.0000;12.92;Ok 0x0000.0000.0000.0000;355;Ok 0x0000.0000.0000.0000;17.61;Ok 0x0000.0000.0000.0000;27.00;Ok 0x0000.0000.0000.0000;0.00;Ok 0x0000.0000.0000.0000;0.23;Ok 0x0000.0000.0000.0000;16.50;Ok 0x0000.0000.0000.0000;0.82;Ok 0x0000.0000.0000.0000;4.69;Ok 0x0000.0000.0000.0000;97.8;Ok 0x0000.0000.0000.0000;354.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.1;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-11-02 16:48:00;Ok 0x0000;11.60;Ok 0x0000.0000.0000.0000;6.3;Ok 0x0000.0000.0000.0000;1.23;Ok 0x0000.0000.0000.0000;2.93;Ok 0x0000.0000.0000.0000;10.98;Ok 0x0000.0000.0000.0000;8.59;Ok 0x0000.0000.0000.0000;39.02;Ok 0x0000.0000.0000.0000;-0.57;Ok 0x0000.0000.8000.0000;23269;Ok 0x0000.0000.0000.0000;8.68;Ok 0x0000.0000.0000.0000;12.89;Ok 0x0000.0000.0000.0000;355;Ok 0x0000.0000.0000.0000;17.61;Ok 0x0000.0000.0000.0000;26.97;Ok 0x0000.0000.0000.0000;-0.00;Ok 0x0000.0000.8001.0000;0.21;Ok 0x0000.0000.0000.0000;16.36;Ok 0x0000.0000.0000.0000;0.82;Ok 0x0000.0000.0000.0000;4.69;Ok 0x0000.0000.0000.0000;97.8;Ok 0x0000.0000.0000.0000;354.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.1;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-11-02 16:50:00;Ok 0x0000;11.74;Ok 0x0000.0000.0000.0000;6.4;Ok 0x0000.0000.0000.0000;1.25;Ok 0x0000.0000.0000.0000;2.87;Ok 0x0000.0000.0000.0000;10.99;Ok 0x0000.0000.0000.0000;8.63;Ok 0x0000.0000.0000.0000;38.69;Ok 0x0000.0000.0000.0000;-0.52;Ok 0x0000.0000.8000.0000;23263;Ok 0x0000.0000.0000.0000;8.69;Ok 0x0000.0000.0000.0000;12.88;Ok 0x0000.0000.0000.0000;355;Ok 0x0000.0000.0000.0000;17.61;Ok 0x0000.0000.0000.0000;27.13;Ok 0x0000.0000.0000.0000;-0.00;Ok 0x0000.0000.8001.0000;0.21;Ok 0x0000.0000.0000.0000;16.78;Ok 0x0000.0000.0000.0000;0.81;Ok 0x0000.0000.0000.0000;4.69;Ok 0x0000.0000.0000.0000;97.8;Ok 0x0000.0000.0000.0000;354.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.1;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-11-02 16:52:00;Ok 0x0000;11.49;Ok 0x0000.0000.0000.0000;6.3;Ok 0x0000.0000.0000.0000;1.25;Ok 0x0000.0000.0000.0000;2.94;Ok 0x0000.0000.0000.0000;10.97;Ok 0x0000.0000.0000.0000;8.59;Ok 0x0000.0000.0000.0000;38.27;Ok 0x0000.0000.0000.0000;-0.53;Ok 0x0000.0000.8000.0000;23260;Ok 0x0000.0000.0000.0000;8.69;Ok 0x0000.0000.0000.0000;12.87;Ok 0x0000.0000.0000.0000;355;Ok 0x0000.0000.0000.0000;17.60;Ok 0x0000.0000.0000.0000;27.03;Ok 0x0000.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;0.20;Ok 0x0000.0000.0000.0000;16.31;Ok 0x0000.0000.0000.0000;0.82;Ok 0x0000.0000.0000.0000;4.70;Ok 0x0000.0000.0000.0000;97.9;Ok 0x0000.0000.0000.0000;354.8;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.0;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-11-02 16:54:00;Ok 0x0000;11.53;Ok 0x0000.0000.0000.0000;6.3;Ok 0x0000.0000.0000.0000;1.24;Ok 0x0000.0000.0000.0000;2.99;Ok 0x0000.0000.0000.0000;10.96;Ok 0x0000.0000.0000.0000;8.60;Ok 0x0000.0000.0000.0000;39.15;Ok 0x0000.0000.0000.0000;-0.54;Ok 0x0000.0000.8000.0000;23264;Ok 0x0000.0000.0000.0000;8.69;Ok 0x0000.0000.0000.0000;12.87;Ok 0x0000.0000.0000.0000;355;Ok 0x0000.0000.0000.0000;17.61;Ok 0x0000.0000.0000.0000;27.05;Ok 0x0000.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;0.19;Ok 0x0000.0000.0000.0000;16.43;Ok 0x0000.0000.0000.0000;0.82;Ok 0x0000.0000.0000.0000;4.69;Ok 0x0000.0000.0000.0000;98.0;Ok 0x0000.0000.0000.0000;354.8;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.0;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-11-02 16:56:00;Ok 0x0000;11.59;Ok 0x0000.0000.0000.0000;6.3;Ok 0x0000.0000.0000.0000;1.23;Ok 0x0000.0000.0000.0000;2.95;Ok 0x0000.0000.0000.0000;10.97;Ok 0x0000.0000.0000.0000;8.59;Ok 0x0000.0000.0000.0000;37.03;Ok 0x0000.0000.0000.0000;-0.48;Ok 0x0000.0000.8000.0000;23260;Ok 0x0000.0000.0000.0000;8.69;Ok 0x0000.0000.0000.0000;12.89;Ok 0x0000.0000.0000.0000;355;Ok 0x0000.0000.0000.0000;17.60;Ok 0x0000.0000.0000.0000;27.02;Ok 0x0000.0000.0000.0000;-0.00;Ok 0x0000.0000.8001.0000;0.19;Ok 0x0000.0000.0000.0000;16.48;Ok 0x0000.0000.0000.0000;0.82;Ok 0x0000.0000.0000.0000;4.69;Ok 0x0000.0000.0000.0000;98.1;Ok 0x0000.0000.0000.0000;354.8;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.1;Ok 0x0000.0000.0000.0000;17.6;Ok 0x0000.0000.0000.0000
2024-11-02 16:58:00;Ok 0x0000;11.61;Ok 0x0000.0000.0000.0000;6.3;Ok 0x0000.0000.0000.0000;1.24;Ok 0x0000.0000.0000.0000;3.21;Ok 0x0000.0000.0000.0000;10.97;Ok 0x0000.0000.0000.0000;8.59;Ok 0x0000.0000.0000.0000;38.06;Ok 0x0000.0000.0000.0000;-0.61;Ok 0x0000.0000.8000.0000;23262;Ok 0x0000.0000.0000.0000;8.69;Ok 0x0000.0000.0000.0000;12.89;Ok 0x0000.0000.0000.0000;355;Ok 0x0000.0000.0000.0000;17.61;Ok 0x0000.0000.0000.0000;27.00;Ok 0x0000.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;0.19;Ok 0x0000.0000.0000.0000;16.49;Ok 0x0000.0000.0000.0000;0.82;Ok 0x0000.0000.0000.0000;4.69;Ok 0x0000.0000.0000.0000;98.1;Ok 0x0000.0000.0000.0000;354.8;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;17.9;Ok 0x0000.0000.0000.0000;18.3;Ok 0x0000.0000.0000.0000;18.1;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
