Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 24400210;spec 24400210;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;spec 24400210;spec 24400210
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.50 1.00 0.00 0.00);Status [Trübung - Messwert];TURBest - FTU (39) - Messwert [FTU] (Limit:0.00-200.00_Coefs:0.00 1.00 0.00 0.00);Status [TURBest - FTU (39) - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:1.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];NO3eq - Messwert [mg/l] (Limit:0.00-63.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3eq - Messwert];NO3eq - Korrigiert [mg/l] (Limit:0.00-63.00);Status [NO3eq - Korrigiert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:30.00 1.00 0.00 0.00);Status [Chl-A - Messwert];NO2eq - Messwert [mg/l] (Limit:0.00-18.00_Coefs:0.00 1.00 0.00 0.00);Status [NO2eq - Messwert];NO2eq - Korrigiert [mg/l] (Limit:0.00-18.00);Status [NO2eq - Korrigiert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];UV254t - Messwert [Abs/m] (Limit:0.00-71.00_Coefs:0.00 1.00 0.00 0.00);Status [UV254t - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];HS- - Messwert [mg/l] (Limit:0.00-5.10_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Ozone - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [Ozone - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperature - °C (26) - Messwert [°C] (Limit:0.00-45.00_Coefs:0.00 1.00 0.00 0.00);Status [Temperature - °C (26) - Messwert]
2024-11-08 14:12:00;Error 0x0010;15.82;Ok 0x0000.0000.0000.0000;6.7;Ok 0x0000.0000.0000.0000;1.28;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;NaN;Ok 0x1001.0020;11.38;Ok 0x0000.0000.0000.0000;8.45;Ok 0x0000.0000.0000.0000;40.62;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;NaN;Ok 0x1001.0020;22796;Ok 0x0000.0000.0000.0000;8.82;Ok 0x0000.0000.0000.0000;13.09;Ok 0x0000.0000.0000.0000;279;Ok 0x0000.0000.0000.0000;17.44;Ok 0x0000.0000.0000.0000;26.57;Ok 0x0000.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;0.22;Ok 0x0000.0000.0000.0000;16.72;Ok 0x0000.0000.0000.0000;0.81;Ok 0x0000.0000.0000.0000;4.20;Ok 0x0000.0000.0000.0000;103.8;Ok 0x0000.0000.0000.0000;278.7;Ok 0x0000.0000.0000.0000;14.4;Ok 0x0000.0000.0000.0000;14.2;Ok 0x0000.0000.0000.0000;15.9;Ok 0x0000.0000.0000.0000;14.2;Ok 0x0000.0000.0000.0000;16.1;Ok 0x0000.0000.0000.0000
