[filetype:logbook]
Timestamp;Log level;Log message
{"display_name":"spec 23510000","internal_name":"spec 23510000","url":"modbus_rtu://1/4","sn":"23510000","version":"0100 0134","model":"spectro::lyser","detector":"uv/vis","pathlength":35.0,"pathlength_unit":"mm","global_calib":"RIV615NNV200","reference":"DIST_H2O","reference_index":"2","reference_date":"2024-10-09 10:50:00"}
{"display_name":"spec 24400210","internal_name":"spec 24400210","url":"rest_tcp://https/192.168.42.10:443","sn":"24400210","version":"4.60 4.2-12","model":"spectro::lyser V3.0","detector":"uv","pathlength":35.0,"pathlength_unit":"mm","global_calib":"GEN_UV_FINGERPRINT-60_ABS-M_SCAN_001","reference":"JET","reference_index":"00000002","reference_date":"2024-12-04T09:09:53.542Z"}
2025-02-21 14:26:56;SYSTEM;Login of user "Administrator" timed out.
2025-02-22 02:59:39;SYSTEM;gc.exe: Database garbage collection for data older than 2024-07-17T14:18:01Z done. Deleted 14418 parameter measurement data rows
2025-02-22 02:59:39;SYSTEM;gc.exe: 14418 entries of backend database have been cleaned.
2025-02-22 03:00:52;SYSTEM;gc.exe: 13414 entries of frontend database have been cleaned.
2025-02-22 19:33:39;SYSTEM;gc.exe: Database garbage collection for data older than 2024-07-18T15:34:01Z done. Deleted 14402 parameter measurement data rows
2025-02-22 19:33:39;SYSTEM;gc.exe: 14402 entries of backend database have been cleaned.
2025-02-22 19:34:51;SYSTEM;gc.exe: 13383 entries of frontend database have been cleaned.
2025-02-23 12:07:40;SYSTEM;gc.exe: Database garbage collection for data older than 2024-07-19T16:50:01Z done. Deleted 14402 parameter measurement data rows
2025-02-23 12:07:40;SYSTEM;gc.exe: 14402 entries of backend database have been cleaned.
2025-02-23 12:08:51;SYSTEM;gc.exe: 13724 entries of frontend database have been cleaned.
