Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 23510000;spec 23510000;spec 23510000;spec 23510000;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.00 1.00 0.00 0.00);Status [Trübung - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:1.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:30.00 1.00 0.00 0.00);Status [Chl-A - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert]
2024-10-09 11:54:00;Ok 0x0000;0.09;Ok 0x0000.0000.0000.0000;8.73;Ok 0x0000.0000.0000.0000;1.06;Ok 0x0000.0000.0000.0000;30.15;Ok 0x0000.0000.0000.0000;26032;Ok 0x0000.0000.0000.0000;8.82;Ok 0x0000.0000.0000.0000;9.77;Ok 0x0000.0000.0000.0000;192;Ok 0x0000.0000.0000.0000;19.72;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.09;Ok 0x0000.0000.0000.0000;4.56;Ok 0x0000.0000.0000.0000;106.0;Ok 0x0000.0000.0000.0000;191.6;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;21.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000
2024-10-09 11:56:00;Ok 0x0000;-0.01;Ok 0x0000.0000.8001.0000;8.72;Ok 0x0000.0000.0000.0000;1.07;Ok 0x0000.0000.0000.0000;30.40;Ok 0x0000.0000.0000.0000;26026;Ok 0x0000.0000.0000.0000;8.82;Ok 0x0000.0000.0000.0000;9.80;Ok 0x0000.0000.0000.0000;192;Ok 0x0000.0000.0000.0000;19.72;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.15;Ok 0x0000.0000.0000.0000;4.56;Ok 0x0000.0000.0000.0000;106.1;Ok 0x0000.0000.0000.0000;192.1;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;21.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000
2024-10-09 11:58:00;Ok 0x0000;0.04;Ok 0x0000.0000.0000.0000;8.69;Ok 0x0000.0000.0000.0000;1.07;Ok 0x0000.0000.0000.0000;34.61;Ok 0x0000.0000.0000.0000;26031;Ok 0x0000.0000.0000.0000;8.82;Ok 0x0000.0000.0000.0000;9.82;Ok 0x0000.0000.0000.0000;192;Ok 0x0000.0000.0000.0000;19.72;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.70;Ok 0x0000.0000.0000.0000;4.57;Ok 0x0000.0000.0000.0000;106.2;Ok 0x0000.0000.0000.0000;192.5;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;21.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000
2024-10-09 12:00:00;Ok 0x0000;-0.24;Ok 0x0000.0000.8001.0000;8.72;Ok 0x0000.0000.0000.0000;1.08;Ok 0x0000.0000.0000.0000;25.52;Ok 0x0000.0000.0000.0000;26037;Ok 0x0000.0000.0000.0000;8.82;Ok 0x0000.0000.0000.0000;9.94;Ok 0x0000.0000.0000.0000;193;Ok 0x0000.0000.0000.0000;19.73;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.10;Ok 0x0000.0000.0000.0000;4.57;Ok 0x0000.0000.0000.0000;106.4;Ok 0x0000.0000.0000.0000;192.9;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;21.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000
2024-10-09 12:02:00;Ok 0x0000;-0.09;Ok 0x0000.0000.8001.0000;8.71;Ok 0x0000.0000.0000.0000;1.06;Ok 0x0000.0000.0000.0000;29.32;Ok 0x0000.0000.0000.0000;26030;Ok 0x0000.0000.0000.0000;8.82;Ok 0x0000.0000.0000.0000;9.89;Ok 0x0000.0000.0000.0000;193;Ok 0x0000.0000.0000.0000;19.72;Ok 0x0000.0000.0000.0000;0.08;Ok 0x0000.0000.0000.0000;14.27;Ok 0x0000.0000.0000.0000;4.57;Ok 0x0000.0000.0000.0000;106.3;Ok 0x0000.0000.0000.0000;193.4;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;21.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000
2024-10-09 12:04:00;Ok 0x0000;-0.23;Ok 0x0000.0000.8001.0000;8.71;Ok 0x0000.0000.0000.0000;1.06;Ok 0x0000.0000.0000.0000;29.02;Ok 0x0000.0000.0000.0000;26039;Ok 0x0000.0000.0000.0000;8.83;Ok 0x0000.0000.0000.0000;9.86;Ok 0x0000.0000.0000.0000;194;Ok 0x0000.0000.0000.0000;19.73;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.56;Ok 0x0000.0000.0000.0000;4.57;Ok 0x0000.0000.0000.0000;106.4;Ok 0x0000.0000.0000.0000;193.8;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.4;Ok 0x0000.0000.0000.0000;21.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000
2024-10-09 12:06:00;Ok 0x0000;-0.12;Ok 0x0000.0000.8001.0000;8.70;Ok 0x0000.0000.0000.0000;1.07;Ok 0x0000.0000.0000.0000;30.69;Ok 0x0000.0000.0000.0000;26045;Ok 0x0000.0000.0000.0000;8.82;Ok 0x0000.0000.0000.0000;9.84;Ok 0x0000.0000.0000.0000;194;Ok 0x0000.0000.0000.0000;19.73;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.51;Ok 0x0000.0000.0000.0000;4.57;Ok 0x0000.0000.0000.0000;106.4;Ok 0x0000.0000.0000.0000;194.2;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;21.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000
2024-10-09 12:08:00;Ok 0x0000;-0.26;Ok 0x0000.0000.8001.0000;8.69;Ok 0x0000.0000.0000.0000;1.07;Ok 0x0000.0000.0000.0000;30.29;Ok 0x0000.0000.0000.0000;26049;Ok 0x0000.0000.0000.0000;8.83;Ok 0x0000.0000.0000.0000;9.82;Ok 0x0000.0000.0000.0000;194;Ok 0x0000.0000.0000.0000;19.74;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.75;Ok 0x0000.0000.0000.0000;4.57;Ok 0x0000.0000.0000.0000;106.5;Ok 0x0000.0000.0000.0000;194.5;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;21.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000
2024-10-09 12:10:00;Ok 0x0000;-0.21;Ok 0x0000.0000.8001.0000;8.70;Ok 0x0000.0000.0000.0000;1.07;Ok 0x0000.0000.0000.0000;29.42;Ok 0x0000.0000.0000.0000;26044;Ok 0x0000.0000.0000.0000;8.83;Ok 0x0000.0000.0000.0000;9.88;Ok 0x0000.0000.0000.0000;195;Ok 0x0000.0000.0000.0000;19.73;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.16;Ok 0x0000.0000.0000.0000;4.57;Ok 0x0000.0000.0000.0000;106.6;Ok 0x0000.0000.0000.0000;194.9;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;21.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000
2024-10-09 12:12:00;Ok 0x0000;-0.17;Ok 0x0000.0000.8001.0000;8.70;Ok 0x0000.0000.0000.0000;1.05;Ok 0x0000.0000.0000.0000;31.26;Ok 0x0000.0000.0000.0000;26050;Ok 0x0000.0000.0000.0000;8.83;Ok 0x0000.0000.0000.0000;9.87;Ok 0x0000.0000.0000.0000;195;Ok 0x0000.0000.0000.0000;19.74;Ok 0x0000.0000.0000.0000;0.06;Ok 0x0000.0000.0000.0000;14.38;Ok 0x0000.0000.0000.0000;4.58;Ok 0x0000.0000.0000.0000;106.6;Ok 0x0000.0000.0000.0000;195.2;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;21.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000
