Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 23510000;spec 23510000;spec 23510000;spec 23510000;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.50 1.00 0.00 0.00);Status [Trübung - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:1.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:30.00 1.00 0.00 0.00);Status [Chl-A - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert]
2024-10-09 12:56:00;Ok 0x0000;1.21;Ok 0x0000.0000.0000.0000;8.78;Ok 0x0000.0000.0000.0000;1.08;Ok 0x0000.0000.0000.0000;32.90;Ok 0x0000.0000.0000.0000;26033;Ok 0x0000.0000.0000.0000;8.84;Ok 0x0000.0000.0000.0000;10.22;Ok 0x0000.0000.0000.0000;202;Ok 0x0000.0000.0000.0000;19.71;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.16;Ok 0x0000.0000.0000.0000;3.99;Ok 0x0000.0000.0000.0000;107.6;Ok 0x0000.0000.0000.0000;201.8;Ok 0x0000.0000.0000.0000;20.9;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;21.2;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000
2024-10-09 12:58:00;Ok 0x0000;3.03;Ok 0x0000.0000.0000.0000;8.98;Ok 0x0000.0000.0000.0000;1.08;Ok 0x0000.0000.0000.0000;33.21;Ok 0x0000.0000.0000.0000;26032;Ok 0x0000.0000.0000.0000;8.85;Ok 0x0000.0000.0000.0000;10.31;Ok 0x0000.0000.0000.0000;202;Ok 0x0000.0000.0000.0000;19.71;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.57;Ok 0x0000.0000.0000.0000;3.87;Ok 0x0000.0000.0000.0000;107.8;Ok 0x0000.0000.0000.0000;202.1;Ok 0x0000.0000.0000.0000;20.9;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;21.2;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000
2024-10-09 13:00:00;Ok 0x0000;2.79;Ok 0x0000.0000.0000.0000;8.97;Ok 0x0000.0000.0000.0000;1.06;Ok 0x0000.0000.0000.0000;32.09;Ok 0x0000.0000.0000.0000;26028;Ok 0x0000.0000.0000.0000;8.85;Ok 0x0000.0000.0000.0000;10.27;Ok 0x0000.0000.0000.0000;202;Ok 0x0000.0000.0000.0000;19.70;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.47;Ok 0x0000.0000.0000.0000;4.60;Ok 0x0000.0000.0000.0000;107.8;Ok 0x0000.0000.0000.0000;202.4;Ok 0x0000.0000.0000.0000;20.9;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000;21.2;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000
2024-10-09 13:02:00;Ok 0x0000;2.57;Ok 0x0000.0000.0000.0000;8.92;Ok 0x0000.0000.0000.0000;1.06;Ok 0x0000.0000.0000.0000;34.21;Ok 0x0000.0000.0000.0000;26024;Ok 0x0000.0000.0000.0000;8.85;Ok 0x0000.0000.0000.0000;10.29;Ok 0x0000.0000.0000.0000;203;Ok 0x0000.0000.0000.0000;19.70;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.09;Ok 0x0000.0000.0000.0000;4.60;Ok 0x0000.0000.0000.0000;107.8;Ok 0x0000.0000.0000.0000;202.6;Ok 0x0000.0000.0000.0000;20.9;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000;21.2;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000
2024-10-09 13:04:00;Ok 0x0000;2.18;Ok 0x0000.0000.0000.0000;8.90;Ok 0x0000.0000.0000.0000;1.08;Ok 0x0000.0000.0000.0000;33.22;Ok 0x0000.0000.0000.0000;26031;Ok 0x0000.0000.0000.0000;8.85;Ok 0x0000.0000.0000.0000;10.32;Ok 0x0000.0000.0000.0000;203;Ok 0x0000.0000.0000.0000;19.71;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.22;Ok 0x0000.0000.0000.0000;4.60;Ok 0x0000.0000.0000.0000;107.9;Ok 0x0000.0000.0000.0000;202.8;Ok 0x0000.0000.0000.0000;20.9;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000;21.2;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000
2024-10-09 13:06:00;Ok 0x0000;1.90;Ok 0x0000.0000.0000.0000;8.86;Ok 0x0000.0000.0000.0000;1.06;Ok 0x0000.0000.0000.0000;33.64;Ok 0x0000.0000.0000.0000;26040;Ok 0x0000.0000.0000.0000;8.85;Ok 0x0000.0000.0000.0000;10.38;Ok 0x0000.0000.0000.0000;203;Ok 0x0000.0000.0000.0000;19.71;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.20;Ok 0x0000.0000.0000.0000;4.61;Ok 0x0000.0000.0000.0000;108.0;Ok 0x0000.0000.0000.0000;202.9;Ok 0x0000.0000.0000.0000;20.9;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000;21.3;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000
2024-10-09 13:08:00;Ok 0x0000;1.80;Ok 0x0000.0000.0000.0000;8.84;Ok 0x0000.0000.0000.0000;1.07;Ok 0x0000.0000.0000.0000;33.92;Ok 0x0000.0000.0000.0000;26028;Ok 0x0000.0000.0000.0000;8.85;Ok 0x0000.0000.0000.0000;10.41;Ok 0x0000.0000.0000.0000;203;Ok 0x0000.0000.0000.0000;19.70;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.14;Ok 0x0000.0000.0000.0000;4.61;Ok 0x0000.0000.0000.0000;108.0;Ok 0x0000.0000.0000.0000;203.1;Ok 0x0000.0000.0000.0000;20.9;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000;21.3;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000
2024-10-09 13:10:00;Ok 0x0000;1.55;Ok 0x0000.0000.0000.0000;8.82;Ok 0x0000.0000.0000.0000;1.07;Ok 0x0000.0000.0000.0000;33.00;Ok 0x0000.0000.0000.0000;26021;Ok 0x0000.0000.0000.0000;8.85;Ok 0x0000.0000.0000.0000;10.36;Ok 0x0000.0000.0000.0000;203;Ok 0x0000.0000.0000.0000;19.70;Ok 0x0000.0000.0000.0000;0.07;Ok 0x0000.0000.0000.0000;14.19;Ok 0x0000.0000.0000.0000;4.61;Ok 0x0000.0000.0000.0000;108.0;Ok 0x0000.0000.0000.0000;203.4;Ok 0x0000.0000.0000.0000;20.9;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000;21.3;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000
2024-10-09 13:12:00;Ok 0x0000;1.43;Ok 0x0000.0000.0000.0000;8.83;Ok 0x0000.0000.0000.0000;1.08;Ok 0x0000.0000.0000.0000;31.69;Ok 0x0000.0000.0000.0000;26021;Ok 0x0000.0000.0000.0000;8.85;Ok 0x0000.0000.0000.0000;10.33;Ok 0x0000.0000.0000.0000;204;Ok 0x0000.0000.0000.0000;19.70;Ok 0x0000.0000.0000.0000;0.08;Ok 0x0000.0000.0000.0000;14.20;Ok 0x0000.0000.0000.0000;4.61;Ok 0x0000.0000.0000.0000;108.0;Ok 0x0000.0000.0000.0000;203.6;Ok 0x0000.0000.0000.0000;20.9;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000;21.3;Ok 0x0000.0000.0000.0000;20.7;Ok 0x0000.0000.0000.0000
