Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;spec 24400210;spec 24400210
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.50 1.00 0.00 0.00);Status [Trübung - Messwert];TURBest - FTU (39) - Messwert [FTU] (Limit:0.00-200.00_Coefs:0.00 1.00 0.00 0.00);Status [TURBest - FTU (39) - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:1.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-14.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:30.00 1.00 0.00 0.00);Status [Chl-A - Messwert];NO2-Neq - Messwert [mg/l] (Limit:0.00-5.70_Coefs:0.00 1.00 0.00 0.00);Status [NO2-Neq - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];UV254t - Messwert [Abs/m] (Limit:0.00-71.00_Coefs:0.00 1.00 0.00 0.00);Status [UV254t - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];HS- - Messwert [mg/l] (Limit:0.00-5.10_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Ozone - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [Ozone - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperature - °C (26) - Messwert [°C] (Limit:0.00-45.00_Coefs:0.00 1.00 0.00 0.00);Status [Temperature - °C (26) - Messwert]
2024-10-18 11:06:00;Error 0x0010;NaN;Error 0x0011.0000.0000.0000;3.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;3.67;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;7.6;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.97;Ok 0x0000.0000.8000.0000;26276;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;10.25;Ok 0x0000.0000.0000.0000;291;Ok 0x0000.0000.0000.0000;20.07;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.32;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.83;Ok 0x0000.0000.0000.0000;3.65;Ok 0x0000.0000.0000.0000;112.2;Ok 0x0000.0000.0000.0000;290.8;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;19.0;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-10-18 11:08:00;Error 0x0010;NaN;Error 0x0011.0000.0000.0000;3.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;3.70;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;7.5;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.90;Ok 0x0000.0000.8000.0000;26270;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;10.26;Ok 0x0000.0000.0000.0000;291;Ok 0x0000.0000.0000.0000;20.07;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.26;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.83;Ok 0x0000.0000.0000.0000;3.65;Ok 0x0000.0000.0000.0000;112.2;Ok 0x0000.0000.0000.0000;290.9;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;19.0;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-10-18 11:10:00;Error 0x0010;NaN;Error 0x0011.0000.0000.0000;3.2;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;3.69;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;7.5;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.98;Ok 0x0000.0000.8000.0000;26279;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;10.29;Ok 0x0000.0000.0000.0000;291;Ok 0x0000.0000.0000.0000;20.07;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.33;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.84;Ok 0x0000.0000.0000.0000;3.65;Ok 0x0000.0000.0000.0000;112.2;Ok 0x0000.0000.0000.0000;291.0;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;19.0;Ok 0x0000.0000.0000.0000;18.4;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-10-18 11:12:00;Error 0x0010;NaN;Error 0x0011.0000.0000.0000;3.2;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;3.68;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;7.5;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.97;Ok 0x0000.0000.8000.0000;26283;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;10.27;Ok 0x0000.0000.0000.0000;291;Ok 0x0000.0000.0000.0000;20.08;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.34;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.84;Ok 0x0000.0000.0000.0000;3.66;Ok 0x0000.0000.0000.0000;112.2;Ok 0x0000.0000.0000.0000;291.1;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;19.0;Ok 0x0000.0000.0000.0000;18.4;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-10-18 11:14:00;Error 0x0010;NaN;Error 0x0011.0000.0000.0000;3.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;3.57;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;7.5;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.90;Ok 0x0000.0000.8000.0000;26274;Ok 0x0000.0000.0000.0000;8.95;Ok 0x0000.0000.0000.0000;10.32;Ok 0x0000.0000.0000.0000;291;Ok 0x0000.0000.0000.0000;20.07;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.32;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.84;Ok 0x0000.0000.0000.0000;3.66;Ok 0x0000.0000.0000.0000;112.3;Ok 0x0000.0000.0000.0000;291.0;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;19.1;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-10-18 11:16:00;Error 0x0010;NaN;Error 0x0011.0000.0000.0000;3.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;3.68;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;7.5;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.83;Ok 0x0000.0000.8000.0000;26281;Ok 0x0000.0000.0000.0000;8.95;Ok 0x0000.0000.0000.0000;10.39;Ok 0x0000.0000.0000.0000;291;Ok 0x0000.0000.0000.0000;20.07;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.33;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.84;Ok 0x0000.0000.0000.0000;3.66;Ok 0x0000.0000.0000.0000;112.4;Ok 0x0000.0000.0000.0000;290.9;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;19.1;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-10-18 11:18:00;Ok 0x0000;3.05;Ok 0x0000.0000.0000.0000;3.2;Ok 0x0000.0000.0000.0000;1.10;Ok 0x0000.0000.0000.0000;3.68;Ok 0x0000.0000.0000.0000;10.40;Ok 0x0000.0000.0000.0000;7.5;Ok 0x0000.0000.0000.0000;31.81;Ok 0x0000.0000.0000.0000;-0.94;Ok 0x0000.0000.8000.0000;26289;Ok 0x0000.0000.0000.0000;8.95;Ok 0x0000.0000.0000.0000;10.43;Ok 0x0000.0000.0000.0000;291;Ok 0x0000.0000.0000.0000;20.08;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;0.08;Ok 0x0000.0000.0000.0000;0.30;Ok 0x0000.0000.0000.0000;13.42;Ok 0x0000.0000.0000.0000;0.84;Ok 0x0000.0000.0000.0000;3.66;Ok 0x0000.0000.0000.0000;112.4;Ok 0x0000.0000.0000.0000;290.8;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;19.1;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;17.7;Ok 0x0000.0000.0000.0000
2024-10-18 11:20:00;Ok 0x0000;3.02;Ok 0x0000.0000.0000.0000;3.2;Ok 0x0000.0000.0000.0000;1.12;Ok 0x0000.0000.0000.0000;3.62;Ok 0x0000.0000.0000.0000;10.38;Ok 0x0000.0000.0000.0000;7.5;Ok 0x0000.0000.0000.0000;34.66;Ok 0x0000.0000.0000.0000;-0.96;Ok 0x0000.0000.8000.0000;26277;Ok 0x0000.0000.0000.0000;8.95;Ok 0x0000.0000.0000.0000;10.44;Ok 0x0000.0000.0000.0000;291;Ok 0x0000.0000.0000.0000;20.07;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;0.08;Ok 0x0000.0000.0000.0000;0.27;Ok 0x0000.0000.0000.0000;13.29;Ok 0x0000.0000.0000.0000;0.83;Ok 0x0000.0000.0000.0000;3.66;Ok 0x0000.0000.0000.0000;112.4;Ok 0x0000.0000.0000.0000;290.7;Ok 0x0000.0000.0000.0000;18.7;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;19.1;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;17.8;Ok 0x0000.0000.0000.0000
2024-10-18 11:22:00;Ok 0x0000;2.82;Ok 0x0000.0000.0000.0000;3.3;Ok 0x0000.0000.0000.0000;1.09;Ok 0x0000.0000.0000.0000;3.69;Ok 0x0000.0000.0000.0000;10.36;Ok 0x0000.0000.0000.0000;7.5;Ok 0x0000.0000.0000.0000;34.69;Ok 0x0000.0000.0000.0000;-0.97;Ok 0x0000.0000.8000.0000;26273;Ok 0x0000.0000.0000.0000;8.95;Ok 0x0000.0000.0000.0000;10.49;Ok 0x0000.0000.0000.0000;291;Ok 0x0000.0000.0000.0000;20.06;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000;0.08;Ok 0x0000.0000.0000.0000;0.31;Ok 0x0000.0000.0000.0000;13.19;Ok 0x0000.0000.0000.0000;0.83;Ok 0x0000.0000.0000.0000;3.66;Ok 0x0000.0000.0000.0000;112.4;Ok 0x0000.0000.0000.0000;290.7;Ok 0x0000.0000.0000.0000;18.7;Ok 0x0000.0000.0000.0000;18.6;Ok 0x0000.0000.0000.0000;19.1;Ok 0x0000.0000.0000.0000;18.5;Ok 0x0000.0000.0000.0000;17.8;Ok 0x0000.0000.0000.0000
