Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;Luftdruck;Luftdruck;cond 22371200;cond 22371200;cond 22371200;cond 22371200;ise 24181400;ise 24181400;ise 24181400;ise 24181400;oxi 11923;oxi 11923;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-1400.00_Coefs:0.00 1.00 0.00 0.00);Status [Trübung - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-210.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-105.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];CODcr - Messwert [mg/l] (Limit:0.00-500.00_Coefs:0.00 1.00 0.00 0.00);Status [CODcr - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-700.00_Coefs:0.00 1.00 0.00 0.00);Status [Chl-A - Messwert];CODmn - Messwert [mg/l] (Limit:0.00-500.00_Coefs:0.00 1.00 0.00 0.00);Status [CODmn - Messwert];HS- - Messwert [mg/l] (Limit:0.00-18.00_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-360.00_Coefs:0.00 1.00 0.00 0.00);Status [BTXest - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-4.56 0.95 0.00 0.00);Status [pH - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert]
2024-09-04 09:34:00;Ok 0x0000;18.49;Ok 0x0000.0000.0000.0000;12.01;Ok 0x0000.0000.0000.0000;-0.49;Ok 0x0000.0000.8001.0000;27.72;Ok 0x0000.0000.0000.0000;25.98;Ok 0x0000.0000.0000.0000;27.72;Ok 0x0000.0000.0000.0000;0.18;Ok 0x0000.0000.0000.0000;-13.10;Ok 0x0000.0000.0000.0000;3.84;Ok 0x0000.0000.0000.0000;26233;Ok 0x0000.0000.0000.0000;19.52;Ok 0x0000.0000.0000.0000;8.37;Ok 0x0000.0000.0000.0000;83.9;Ok 0x0000.0000.0000.0000;7.62;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000
2024-09-04 09:36:00;Ok 0x0000;19.59;Ok 0x0000.0000.0000.0000;12.01;Ok 0x0000.0000.0000.0000;-0.46;Ok 0x0000.0000.8001.0000;27.71;Ok 0x0000.0000.0000.0000;27.87;Ok 0x0000.0000.0000.0000;27.71;Ok 0x0000.0000.0000.0000;0.16;Ok 0x0000.0000.0000.0000;-12.38;Ok 0x0000.0000.0000.0000;4.52;Ok 0x0000.0000.0000.0000;26215;Ok 0x0000.0000.0000.0000;19.50;Ok 0x0000.0000.0000.0000;8.37;Ok 0x0000.0000.0000.0000;83.7;Ok 0x0000.0000.0000.0000;7.60;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000
2024-09-04 09:38:00;Ok 0x0000;20.04;Ok 0x0000.0000.0000.0000;12.07;Ok 0x0000.0000.0000.0000;-0.47;Ok 0x0000.0000.8001.0000;27.85;Ok 0x0000.0000.0000.0000;38.96;Ok 0x0000.0000.0000.0000;27.85;Ok 0x0000.0000.0000.0000;0.13;Ok 0x0000.0000.0000.0000;-11.01;Ok 0x0000.0000.0000.0000;4.52;Ok 0x0000.0000.0000.0000;26212;Ok 0x0000.0000.0000.0000;19.50;Ok 0x0000.0000.0000.0000;8.37;Ok 0x0000.0000.0000.0000;83.5;Ok 0x0000.0000.0000.0000;7.59;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000
2024-09-04 09:40:00;Ok 0x0000;19.57;Ok 0x0000.0000.0000.0000;12.10;Ok 0x0000.0000.0000.0000;-0.46;Ok 0x0000.0000.8001.0000;27.98;Ok 0x0000.0000.0000.0000;30.93;Ok 0x0000.0000.0000.0000;27.98;Ok 0x0000.0000.0000.0000;0.16;Ok 0x0000.0000.0000.0000;-11.59;Ok 0x0000.0000.0000.0000;4.52;Ok 0x0000.0000.0000.0000;26211;Ok 0x0000.0000.0000.0000;19.50;Ok 0x0000.0000.0000.0000;8.36;Ok 0x0000.0000.0000.0000;83.3;Ok 0x0000.0000.0000.0000;7.59;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;25.9;Ok 0x0000.0000.0000.0000;26.0;Ok 0x0000.0000.0000.0000
