Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;Luftdruck;Luftdruck;cond 22371200;cond 22371200;cond 22371200;cond 22371200;ise 24181400;ise 24181400;ise 24181400;ise 24181400;oxi 11923;oxi 11923;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-1400.00_Coefs:0.00 1.00 0.00 0.00);Status [Trübung - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-210.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-105.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];CODcr - Messwert [mg/l] (Limit:0.00-500.00_Coefs:0.00 1.00 0.00 0.00);Status [CODcr - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-700.00_Coefs:0.00 1.00 0.00 0.00);Status [Chl-A - Messwert];CODmn - Messwert [mg/l] (Limit:0.00-500.00_Coefs:0.00 1.00 0.00 0.00);Status [CODmn - Messwert];HS- - Messwert [mg/l] (Limit:0.00-18.00_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-360.00_Coefs:0.00 1.00 0.00 0.00);Status [BTXest - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert]
2024-09-25 15:20:00;Ok 0x0000;6.16;Ok 0x0000.0000.0000.0000;12.04;Ok 0x0000.0000.0000.0000;-0.13;Ok 0x0000.0000.8001.0000;27.48;Ok 0x0000.0000.0000.0000;43.42;Ok 0x0000.0000.0000.0000;27.48;Ok 0x0000.0000.0000.0000;0.29;Ok 0x0000.0000.0000.0000;-18.94;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;25432;Ok 0x0000.0000.0000.0000;18.98;Ok 0x0000.0000.0000.0000;8.50;Ok 0x0000.0000.0000.0000;89.7;Ok 0x0000.0000.0000.0000;9.52;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;23.8;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000
2024-09-25 15:22:00;Ok 0x0000;6.30;Ok 0x0000.0000.0000.0000;12.00;Ok 0x0000.0000.0000.0000;-0.13;Ok 0x0000.0000.8001.0000;27.35;Ok 0x0000.0000.0000.0000;34.37;Ok 0x0000.0000.0000.0000;27.35;Ok 0x0000.0000.0000.0000;0.28;Ok 0x0000.0000.0000.0000;-19.29;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;25436;Ok 0x0000.0000.0000.0000;18.98;Ok 0x0000.0000.0000.0000;8.50;Ok 0x0000.0000.0000.0000;89.7;Ok 0x0000.0000.0000.0000;9.52;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;23.8;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000
2024-09-25 15:24:00;Ok 0x0000;6.47;Ok 0x0000.0000.0000.0000;12.01;Ok 0x0000.0000.0000.0000;-0.18;Ok 0x0000.0000.8001.0000;27.38;Ok 0x0000.0000.0000.0000;47.09;Ok 0x0000.0000.0000.0000;27.38;Ok 0x0000.0000.0000.0000;0.27;Ok 0x0000.0000.0000.0000;-19.19;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;25430;Ok 0x0000.0000.0000.0000;18.98;Ok 0x0000.0000.0000.0000;8.50;Ok 0x0000.0000.0000.0000;89.8;Ok 0x0000.0000.0000.0000;9.53;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;23.8;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000
2024-09-25 15:26:00;Ok 0x0000;6.62;Ok 0x0000.0000.0000.0000;11.99;Ok 0x0000.0000.0000.0000;-0.18;Ok 0x0000.0000.8001.0000;27.30;Ok 0x0000.0000.0000.0000;55.64;Ok 0x0000.0000.0000.0000;27.30;Ok 0x0000.0000.0000.0000;0.27;Ok 0x0000.0000.0000.0000;-18.13;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;25442;Ok 0x0000.0000.0000.0000;18.99;Ok 0x0000.0000.0000.0000;8.51;Ok 0x0000.0000.0000.0000;89.9;Ok 0x0000.0000.0000.0000;9.52;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;23.8;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000
2024-09-25 15:28:00;Ok 0x0000;7.62;Ok 0x0000.0000.0000.0000;12.29;Ok 0x0000.0000.0000.0000;-0.11;Ok 0x0000.0000.8001.0000;28.11;Ok 0x0000.0000.0000.0000;41.08;Ok 0x0000.0000.0000.0000;28.11;Ok 0x0000.0000.0000.0000;0.28;Ok 0x0000.0000.0000.0000;-18.95;Ok 0x0000.0000.0000.0000;4.13;Ok 0x0000.0000.0000.0000;18825;Ok 0x0000.0000.0000.0000;13.65;Ok 0x0000.0000.0000.0000;8.51;Ok 0x0000.0000.0000.0000;90.3;Ok 0x0000.0000.0000.0000;9.08;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;24.8;Ok 0x0000.0000.0000.0000
2024-09-25 15:30:00;Ok 0x0000;5.85;Ok 0x0000.0000.0000.0000;12.00;Ok 0x0000.0000.0000.0000;-0.18;Ok 0x0000.0000.8001.0000;27.34;Ok 0x0000.0000.0000.0000;48.88;Ok 0x0000.0000.0000.0000;27.34;Ok 0x0000.0000.0000.0000;0.26;Ok 0x0000.0000.0000.0000;-18.92;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000.0000.0000;25452;Ok 0x0000.0000.0000.0000;19.00;Ok 0x0000.0000.0000.0000;8.51;Ok 0x0000.0000.0000.0000;90.1;Ok 0x0000.0000.0000.0000;9.53;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;23.8;Ok 0x0000.0000.0000.0000;24.7;Ok 0x0000.0000.0000.0000
2024-09-25 15:32:00;Ok 0x0000;6.63;Ok 0x0000.0000.0000.0000;11.95;Ok 0x0000.0000.0000.0000;-0.19;Ok 0x0000.0000.8001.0000;27.19;Ok 0x0000.0000.0000.0000;57.68;Ok 0x0000.0000.0000.0000;27.19;Ok 0x0000.0000.0000.0000;0.26;Ok 0x0000.0000.0000.0000;-19.30;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000.0000.0000;25440;Ok 0x0000.0000.0000.0000;18.98;Ok 0x0000.0000.0000.0000;8.51;Ok 0x0000.0000.0000.0000;90.2;Ok 0x0000.0000.0000.0000;9.56;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;23.8;Ok 0x0000.0000.0000.0000;24.7;Ok 0x0000.0000.0000.0000
2024-09-25 15:34:00;Ok 0x0000;5.17;Ok 0x0000.0000.0000.0000;11.93;Ok 0x0000.0000.0000.0000;-0.15;Ok 0x0000.0000.8001.0000;27.17;Ok 0x0000.0000.0000.0000;47.03;Ok 0x0000.0000.0000.0000;27.17;Ok 0x0000.0000.0000.0000;0.27;Ok 0x0000.0000.0000.0000;-19.72;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000.0000.0000;25443;Ok 0x0000.0000.0000.0000;18.99;Ok 0x0000.0000.0000.0000;8.51;Ok 0x0000.0000.0000.0000;90.3;Ok 0x0000.0000.0000.0000;9.60;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;23.8;Ok 0x0000.0000.0000.0000;24.8;Ok 0x0000.0000.0000.0000
2024-09-25 15:36:00;Ok 0x0000;6.64;Ok 0x0000.0000.0000.0000;12.06;Ok 0x0000.0000.0000.0000;-0.15;Ok 0x0000.0000.8001.0000;27.55;Ok 0x0000.0000.0000.0000;33.16;Ok 0x0000.0000.0000.0000;27.55;Ok 0x0000.0000.0000.0000;0.28;Ok 0x0000.0000.0000.0000;-19.31;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000.0000.0000;25436;Ok 0x0000.0000.0000.0000;18.98;Ok 0x0000.0000.0000.0000;8.51;Ok 0x0000.0000.0000.0000;90.4;Ok 0x0000.0000.0000.0000;9.64;Ok 0x0000.0000.0000.0000;24.3;Ok 0x0000.0000.0000.0000;23.9;Ok 0x0000.0000.0000.0000;24.8;Ok 0x0000.0000.0000.0000
2024-09-25 15:38:00;Ok 0x0000;5.97;Ok 0x0000.0000.0000.0000;11.97;Ok 0x0000.0000.0000.0000;-0.12;Ok 0x0000.0000.8001.0000;27.29;Ok 0x0000.0000.0000.0000;45.00;Ok 0x0000.0000.0000.0000;27.29;Ok 0x0000.0000.0000.0000;0.27;Ok 0x0000.0000.0000.0000;-19.28;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000.0000.0000;25438;Ok 0x0000.0000.0000.0000;18.98;Ok 0x0000.0000.0000.0000;8.52;Ok 0x0000.0000.0000.0000;90.5;Ok 0x0000.0000.0000.0000;9.66;Ok 0x0000.0000.0000.0000;24.3;Ok 0x0000.0000.0000.0000;23.9;Ok 0x0000.0000.0000.0000;24.8;Ok 0x0000.0000.0000.0000
