Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;spec 24400210;spec 24400210
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.50 1.00 0.00 0.00);Status [Trübung - Messwert];TURBest - FTU (39) - Messwert [FTU] (Limit:0.00-200.00_Coefs:0.00 1.00 0.00 0.00);Status [TURBest - FTU (39) - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:1.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-14.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:30.00 1.00 0.00 0.00);Status [Chl-A - Messwert];NO2-Neq - Messwert [mg/l] (Limit:0.00-5.70_Coefs:0.00 1.00 0.00 0.00);Status [NO2-Neq - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];UV254t - Messwert [Abs/m] (Limit:0.00-71.00_Coefs:0.00 1.00 0.00 0.00);Status [UV254t - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];HS- - Messwert [mg/l] (Limit:0.00-5.10_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Ozone - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [Ozone - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperature - °C (26) - Messwert [°C] (Limit:0.00-45.00_Coefs:0.00 1.00 0.00 0.00);Status [Temperature - °C (26) - Messwert]
2024-11-08 14:26:00;Ok 0x0000;15.04;Ok 0x0000.0000.0000.0000;6.6;Ok 0x0000.0000.0000.0000;1.28;Ok 0x0000.0000.0000.0000;2.77;Ok 0x0000.0000.0000.0000;11.29;Ok 0x0000.0000.0000.0000;8.43;Ok 0x0000.0000.0000.0000;40.08;Ok 0x0000.0000.0000.0000;-0.28;Ok 0x0000.0000.8000.0000;22851;Ok 0x0000.0000.0000.0000;8.83;Ok 0x0000.0000.0000.0000;13.24;Ok 0x0000.0000.0000.0000;275;Ok 0x0000.0000.0000.0000;17.49;Ok 0x0000.0000.0000.0000;26.50;Ok 0x0000.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;0.14;Ok 0x0000.0000.0000.0000;16.23;Ok 0x0000.0000.0000.0000;0.81;Ok 0x0000.0000.0000.0000;3.91;Ok 0x0000.0000.0000.0000;104.0;Ok 0x0000.0000.0000.0000;275.3;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;14.1;Ok 0x0000.0000.0000.0000;15.4;Ok 0x0000.0000.0000.0000;14.2;Ok 0x0000.0000.0000.0000;14.8;Ok 0x0000.0000.0000.0000
2024-11-08 14:27:11;Ok 0x0002
2024-11-08 14:28:00;Ok 0x0002
2024-11-08 14:30:00;Ok 0x0002
2024-11-08 14:32:00;Ok 0x0000
2024-11-08 14:34:00;Ok 0x0000;16.91;Ok 0x0000.0000.0000.0000;6.6;Ok 0x0000.0000.0000.0000;1.26;Ok 0x0000.0000.0000.0000;2.90;Ok 0x0000.0000.0000.0000;11.52;Ok 0x0000.0000.0000.0000;8.42;Ok 0x0000.0000.0000.0000;39.55;Ok 0x0000.0000.0000.0000;-0.33;Ok 0x0000.0000.8000.0000;22870;Ok 0x0000.0000.0000.0000;8.83;Ok 0x0000.0000.0000.0000;13.28;Ok 0x0000.0000.0000.0000;276;Ok 0x0000.0000.0000.0000;17.51;Ok 0x0000.0000.0000.0000;26.50;Ok 0x0000.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;0.13;Ok 0x0000.0000.0000.0000;16.44;Ok 0x0000.0000.0000.0000;0.81;Ok 0x0000.0000.0000.0000;3.88;Ok 0x0000.0000.0000.0000;104.4;Ok 0x0000.0000.0000.0000;275.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;14.1;Ok 0x0000.0000.0000.0000;15.4;Ok 0x0000.0000.0000.0000;14.2;Ok 0x0000.0000.0000.0000;14.6;Ok 0x0000.0000.0000.0000
2024-11-08 14:36:00;Ok 0x0000;16.69;Ok 0x0000.0000.0000.0000;6.6;Ok 0x0000.0000.0000.0000;1.29;Ok 0x0000.0000.0000.0000;2.91;Ok 0x0000.0000.0000.0000;11.51;Ok 0x0000.0000.0000.0000;8.40;Ok 0x0000.0000.0000.0000;34.68;Ok 0x0000.0000.0000.0000;-0.29;Ok 0x0000.0000.8000.0000;22884;Ok 0x0000.0000.0000.0000;8.83;Ok 0x0000.0000.0000.0000;13.31;Ok 0x0000.0000.0000.0000;275;Ok 0x0000.0000.0000.0000;17.52;Ok 0x0000.0000.0000.0000;26.44;Ok 0x0000.0000.0000.0000;0.01;Ok 0x0000.0000.0000.0000;0.18;Ok 0x0000.0000.0000.0000;15.98;Ok 0x0000.0000.0000.0000;0.79;Ok 0x0000.0000.0000.0000;4.71;Ok 0x0000.0000.0000.0000;104.5;Ok 0x0000.0000.0000.0000;274.8;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;14.2;Ok 0x0000.0000.0000.0000;15.4;Ok 0x0000.0000.0000.0000;14.2;Ok 0x0000.0000.0000.0000;14.6;Ok 0x0000.0000.0000.0000
2024-11-08 14:38:00;Ok 0x0000;16.63;Ok 0x0000.0000.0000.0000;6.6;Ok 0x0000.0000.0000.0000;1.28;Ok 0x0000.0000.0000.0000;2.89;Ok 0x0000.0000.0000.0000;11.48;Ok 0x0000.0000.0000.0000;8.40;Ok 0x0000.0000.0000.0000;38.55;Ok 0x0000.0000.0000.0000;-0.35;Ok 0x0000.0000.8000.0000;22882;Ok 0x0000.0000.0000.0000;8.83;Ok 0x0000.0000.0000.0000;13.32;Ok 0x0000.0000.0000.0000;274;Ok 0x0000.0000.0000.0000;17.52;Ok 0x0000.0000.0000.0000;26.40;Ok 0x0000.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;0.20;Ok 0x0000.0000.0000.0000;16.56;Ok 0x0000.0000.0000.0000;0.81;Ok 0x0000.0000.0000.0000;4.71;Ok 0x0000.0000.0000.0000;104.5;Ok 0x0000.0000.0000.0000;274.2;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;14.2;Ok 0x0000.0000.0000.0000;15.4;Ok 0x0000.0000.0000.0000;14.2;Ok 0x0000.0000.0000.0000;14.6;Ok 0x0000.0000.0000.0000
2024-11-08 14:40:00;Ok 0x0000;16.57;Ok 0x0000.0000.0000.0000;6.6;Ok 0x0000.0000.0000.0000;1.29;Ok 0x0000.0000.0000.0000;3.12;Ok 0x0000.0000.0000.0000;11.48;Ok 0x0000.0000.0000.0000;8.41;Ok 0x0000.0000.0000.0000;37.96;Ok 0x0000.0000.0000.0000;-0.38;Ok 0x0000.0000.8000.0000;22874;Ok 0x0000.0000.0000.0000;8.84;Ok 0x0000.0000.0000.0000;13.34;Ok 0x0000.0000.0000.0000;274;Ok 0x0000.0000.0000.0000;17.51;Ok 0x0000.0000.0000.0000;26.42;Ok 0x0000.0000.0000.0000;-0.00;Ok 0x0000.0000.8001.0000;0.19;Ok 0x0000.0000.0000.0000;16.22;Ok 0x0000.0000.0000.0000;0.81;Ok 0x0000.0000.0000.0000;4.71;Ok 0x0000.0000.0000.0000;104.6;Ok 0x0000.0000.0000.0000;273.5;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;15.4;Ok 0x0000.0000.0000.0000;14.2;Ok 0x0000.0000.0000.0000;14.6;Ok 0x0000.0000.0000.0000
